,#,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Victory_Rate,Total_Battles,Victory_Counts,Offensive_Power,Defensive_Power,Speed_to_Power_Ratio,Bug,Dark,Dragon,Electric,Fairy,Fighting,Fire,Flying,Ghost,Grass,Ground,Ice,Normal,Poison,Psychic,Rock,Steel,Water,,Type
12,13,Mega Blastoise,Water,,79,103,120,135,115,78,1,0,0.5763888888888888,144.0,83.0,0.5108408175256001,0.39441632295963003,0.34472406759195345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Water
13,14,Caterpie,Bug,,45,30,35,20,20,45,1,0,0.14782608695652175,115.0,17.0,0.1616564545912372,0.1199475065616798,1.1999573458170258,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Bug
14,15,Metapod,Bug,,50,20,55,25,25,30,1,0,0.09774436090225563,133.0,13.0,0.11207927648145039,0.15796462942132233,0.8731948671327809,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Bug
15,16,Butterfree,Bug,Flying,60,45,50,90,80,70,1,0,0.625,120.0,75.0,0.3484639919422528,0.237570303712036,0.569676749768342,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Bug
16,17,Weedle,Bug,Poison,40,35,30,20,20,50,1,0,0.23423423423423423,111.0,26.0,0.18269892563370824,0.10454943132108487,1.1822117191618164,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Bug
17,18,Kakuna,Bug,Poison,45,25,50,25,25,35,1,0,0.13076923076923078,130.0,17.0,0.13312174752392145,0.14256655418072742,0.8992745570112947,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Bug
18,19,Beedrill,Bug,Poison,65,90,40,45,80,75,1,0,0.625,128.0,80.0,0.36241921269095184,0.23630171228596425,0.6147444765100428,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Bug
19,20,Mega Beedrill,Bug,Poison,65,150,40,15,80,145,1,0,0.9663865546218487,119.0,115.0,0.6027394242068156,0.23630171228596425,0.9852730051405548,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Bug
20,21,Pidgey,Normal,Flying,40,45,40,35,35,56,1,0,0.373015873015873,126.0,47.0,0.23373573107268758,0.13351768528933883,0.8253761175125943,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Flying
21,22,Pidgeotto,Normal,Flying,63,60,55,50,50,71,1,0,0.5289256198347108,121.0,64.0,0.31724357898270944,0.21331708536432947,0.7313383618325386,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Flying
22,23,Pidgeot,Normal,Flying,83,80,75,70,70,101,1,0,0.8615384615384616,130.0,112.0,0.4571588047675004,0.298718910136233,0.7489107833536575,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Flying
23,24,Mega Pidgeot,Normal,Flying,83,80,80,135,80,121,1,0,0.9444444444444444,126.0,119.0,0.602616879301662,0.3161792275965504,0.6105044163175543,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Flying
24,25,Rattata,Normal,,30,56,35,25,35,72,1,0,0.48148148148148145,135.0,65.0,0.28072792513009903,0.10827709036370453,1.0688439587549243,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Normal
25,26,Raticate,Normal,,55,81,60,50,70,97,1,0,0.7214285714285714,140.0,101.0,0.4199076716468021,0.22693413323334582,0.8355252995005278,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Normal
26,27,Spearow,Normal,Flying,40,60,30,31,31,70,1,0,0.4492753623188406,138.0,62.0,0.2885712187342622,0.11764466941632296,0.9005906793789725,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Flying
27,28,Fearow,Normal,Flying,65,90,65,61,61,100,1,0,0.8373983739837398,123.0,103.0,0.45558691455430583,0.24146044244469442,0.7359443906599831,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Flying
28,29,Ekans,Poison,,35,60,44,40,54,55,1,0,0.366412213740458,131.0,48.0,0.25794233674668454,0.15073865766779154,0.6193128829087473,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Poison
29,30,Arbok,Poison,,60,85,69,65,79,80,1,0,0.576,125.0,72.0,0.3971220832633876,0.2574909386326709,0.5852038998923115,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Poison
30,31,Pikachu,Electric,,35,55,40,50,50,90,1,0,0.6838235294117647,136.0,93.0,0.36477253651166697,0.14153230846144232,0.9939686501724347,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Electric
31,32,Raichu,Electric,,60,90,55,90,80,110,1,0,0.8677685950413223,121.0,105.0,0.5235605170387779,0.24312585926759156,0.6702097916784253,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Electric
32,33,Sandshrew,Ground,,50,75,85,20,30,40,1,0,0.0,0.0,0.0,0.20818155111633374,0.19725034370703662,0.46112039793985926,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Ground
33,34,Sandslash,Ground,,75,100,110,45,55,65,1,0,0.5333333333333333,105.0,56.0,0.34736129763303675,0.30400262467191597,0.4865078862204217,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Ground
34,35,Nidoran♀,Poison,,55,47,52,40,40,41,1,0,0.16806722689075632,119.0,20.0,0.200374769179117,0.18233095863017124,0.5260286391653184,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Poison
35,36,Nidorina,Poison,,70,62,67,55,55,56,1,0,0.38513513513513514,148.0,57.0,0.28388261708913887,0.24638232720909886,0.5263547258046128,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Poison
36,37,Nidoqueen,Poison,Ground,90,92,87,75,85,76,1,0,0.5409836065573771,122.0,66.0,0.40873992781601476,0.3436889138857643,0.49205453392001025,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Ground
37,38,Nidoran♂,Poison,,46,57,40,40,40,50,1,0,0.25,136.0,34.0,0.23960256840691624,0.15128108986376704,0.577687417479287,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Poison
38,39,Nidorino,Poison,,61,72,57,55,55,65,1,0,0.3984375,128.0,51.0,0.32311041631693804,0.2175546806649169,0.5641627387416055,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Poison
39,40,Nidoking,Poison,Ground,81,102,77,85,75,85,1,0,0.5642857142857143,140.0,79.0,0.46155468356555307,0.3029565054368204,0.4900060854897956,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Ground
40,41,Clefairy,Fairy,,70,45,48,60,65,35,1,0,0.15748031496062992,127.0,20.0,0.20770312237703542,0.23717597800274967,0.35060169114160816,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fairy
41,42,Clefable,Fairy,,95,70,73,95,90,60,1,0,0.3983739837398374,123.0,49.0,0.36046982541547756,0.343928258967629,0.38595440947037535,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fairy
42,43,Vulpix,Fire,,38,41,40,50,65,65,1,0,0.4108527131782946,129.0,53.0,0.2744250461641766,0.16529496312960879,0.8301909187096597,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Fire
43,44,Ninetales,Fire,,73,76,75,81,100,100,1,0,0.8110236220472441,127.0,103.0,0.4638419086788652,0.31474815648043997,0.7044115795522418,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Fire
44,45,Jigglypuff,Normal,Fairy,115,45,20,45,25,20,1,0,0.11538461538461539,130.0,15.0,0.14446554473728387,0.24702849643794525,0.21037608123664547,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Fairy
45,46,Wigglytuff,Normal,Fairy,140,70,45,85,50,45,1,0,0.0,0.0,0.0,0.3040257260365956,0.35378077740282465,0.30076769097621825,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Fairy
46,47,Zubat,Poison,Flying,40,45,35,30,40,55,1,0,0.3793103448275862,145.0,55.0,0.22408510995467518,0.13391451068616422,0.8766611879634728,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Flying
47,48,Golbat,Poison,Flying,75,80,70,65,75,90,1,0,0.7578125,128.0,97.0,0.4189367550780594,0.2833677040369954,0.6886453721479195,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Flying
48,49,Oddish,Grass,Poison,45,50,55,75,65,30,1,0,0.06293706293706294,143.0,9.0,0.2205545996306866,0.1957411573553306,0.23908980673901728,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Grass
49,50,Gloom,Grass,Poison,60,65,70,85,75,40,1,0,0.21705426356589147,129.0,28.0,0.2829832549941246,0.2538401449818773,0.27287623090908514,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Grass
50,51,Vileplume,Grass,Poison,75,80,85,110,90,50,1,0,0.3548387096774194,124.0,44.0,0.3657923451401712,0.3178915135608049,0.270709841923337,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Grass
51,52,Paras,Bug,Grass,35,70,55,45,55,25,1,0,0.09420289855072464,138.0,13.0,0.19253504280678194,0.16415135608048992,0.21063822019367082,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Bug
52,53,Parasect,Bug,Grass,60,95,80,60,80,30,1,0,0.19480519480519481,154.0,30.0,0.2609849756588887,0.27090363704536935,0.18816164743813826,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Bug
53,54,Venonat,Bug,Poison,60,55,50,40,55,45,1,0,0.22377622377622378,143.0,32.0,0.22261415141849925,0.20780839895013126,0.5262818166462907,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Bug
54,55,Venomoth,Bug,Poison,70,65,60,90,75,90,1,0,0.6571428571428571,140.0,92.0,0.432633876112137,0.26241407324084487,0.6390078351009075,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Bug
55,56,Diglett,Ground,,10,55,25,35,45,95,1,0,0.5396825396825397,126.0,68.0,0.3586778160147725,0.06970066241719784,1.2631672694707363,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Ground
56,57,Dugtrio,Ground,,35,80,50,50,70,120,1,0,0.84375,128.0,108.0,0.4842706060097365,0.17645294338207723,1.0534567542089426,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Ground
57,58,Meowth,Normal,,40,45,35,40,40,90,1,0,0.65,140.0,91.0,0.3376720664764143,0.13391451068616422,1.2773225581591439,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Normal
58,59,Persian,Normal,,65,70,60,65,65,115,1,0,0.8583333333333333,120.0,103.0,0.47685181299311735,0.2406667916510436,0.9651555244869162,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Normal
59,60,Psyduck,Water,,50,52,48,65,50,55,1,0,0.33098591549295775,142.0,47.0,0.28109891724022157,0.17994875640544933,0.5157603889960612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Water
60,61,Golduck,Water,,80,82,78,95,80,85,1,0,0.6869565217391305,115.0,79.0,0.44811461306026523,0.3080514935633046,0.5199693273087769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Water
61,62,Mankey,Fighting,,40,80,35,35,45,70,1,0,0.4661016949152542,118.0,55.0,0.32103302836998493,0.13986689163854518,0.6849450768527817,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Fighting
62,63,Primeape,Fighting,,65,105,60,60,70,95,1,0,0.7870370370370371,108.0,85.0,0.4602127748866879,0.24661917260342456,0.632360223229186,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Fighting
63,64,Growlithe,Fire,,55,70,45,70,50,60,1,0,0.45,120.0,54.0,0.3265024341111298,0.18645794275715535,0.46324877389515706,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Fire
64,65,Arcanine,Fire,,90,110,80,100,80,95,1,0,0.7982456140350878,114.0,91.0,0.5213173577304011,0.3299587551556056,0.4862311483457333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Fire
65,66,Poliwag,Water,,40,50,40,40,40,90,1,0,0.0,0.0,0.0,0.34442882323317103,0.1394700662417198,1.1925610634212167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Water
66,67,Poliwhirl,Water,,65,65,65,50,50,90,1,0,0.72,125.0,90.0,0.37828605002518045,0.2283652043494563,0.8949701465253018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Water
67,68,Poliwrath,Water,Fighting,90,95,95,70,90,70,1,0,0.5230769230769231,130.0,68.0,0.38885764646634213,0.35853018372703416,0.456539694874008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Fighting
68,69,Abra,Psychic,,25,20,15,105,55,90,1,0,0.32407407407407407,108.0,35.0,0.3922035000839349,0.10002187226596676,0.8117080768516477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Psychic
69,70,Kadabra,Psychic,,40,35,30,120,70,105,1,0,0.6692307692307692,130.0,87.0,0.47571134799395665,0.16407324084489439,0.7509032788487267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Psychic
70,71,Alakazam,Psychic,,55,50,45,135,95,120,1,0,0.7714285714285715,140.0,108.0,0.5592191959039785,0.24002937132858393,0.7115084575465045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Psychic
71,72,Mega Alakazam,Psychic,,55,50,65,175,95,150,1,0,0.7818181818181819,110.0,86.0,0.6992813077052208,0.2622515935508062,0.72619126086977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Psychic
72,73,Machop,Fighting,,70,80,50,35,35,35,1,0,0.14,150.0,21.0,0.2210330283699849,0.20368391451068618,0.31612849700897616,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Fighting
73,74,Machoke,Fighting,,80,100,70,50,60,45,1,0,0.25806451612903225,124.0,32.0,0.29701191875104915,0.27535308086489185,0.3122966579716268,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Fighting
74,75,Machamp,Fighting,,90,130,80,65,85,55,1,0,0.4396551724137931,116.0,51.0,0.38650432264562695,0.3359111361079865,0.2928634578329962,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Fighting
75,76,Bellsprout,Grass,Poison,50,75,35,70,30,40,1,0,0.21296296296296297,108.0,23.0,0.2761163337250294,0.14169478815148107,0.28350081868773436,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Grass
76,77,Weepinbell,Grass,Poison,65,90,50,85,45,55,1,0,0.371900826446281,121.0,45.0,0.35962418163505117,0.2057461567304087,0.3291380798061218,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Grass
77,78,Victreebel,Grass,Poison,80,105,65,100,70,70,1,0,0.0,0.0,0.0,0.443132029545073,0.28170228721409823,0.3603755032609863,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Grass
78,79,Tentacool,Water,Poison,40,40,35,50,100,70,1,0,0.5031847133757962,157.0,79.0,0.2873594090985395,0.20534308211473565,0.9113011474255928,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Poison
79,80,Tentacruel,Water,Poison,80,70,65,80,120,100,1,0,0.8034188034188035,117.0,94.0,0.4543751049185832,0.34122609673790777,0.7408125204600834,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Poison
80,81,Geodude,Rock,Ground,40,80,100,30,30,20,1,0,0.11851851851851852,135.0,16.0,0.17138240725197246,0.19423197100362455,0.16640285329075818,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Ground
81,82,Graveler,Rock,Ground,55,95,115,45,45,35,1,0,0.2116788321167883,137.0,29.0,0.25489025516199426,0.2582833395825522,0.2529549808500298,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Ground
82,83,Golem,Rock,Ground,80,120,130,55,65,45,1,0,0.37037037037037035,135.0,50.0,0.33083242403894575,0.34797212848393955,0.2635780644821589,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Ground
83,84,Ponyta,Fire,,50,85,55,65,65,90,1,0,0.7478260869565218,115.0,86.0,0.4256935118348162,0.20558367704036995,0.6632310865446197,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Fire
84,85,Rapidash,Fire,,65,100,70,80,80,105,1,0,0.8666666666666667,105.0,91.0,0.5092013597448379,0.2696350456192976,0.6385045637882754,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Fire
85,86,Slowpoke,Water,Psychic,90,65,65,40,40,15,1,0,0.19672131147540983,122.0,24.0,0.15041337921772704,0.26567304086989124,0.11700783065625786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Psychic
86,87,Slowbro,Water,Psychic,95,75,110,100,80,30,1,0,0.15267175572519084,131.0,20.0,0.28830577471881824,0.37313460817397825,0.16448554199145793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Psychic
87,88,Mega Slowbro,Water,Psychic,95,75,180,130,80,30,1,0,0.13793103448275862,116.0,16.0,0.32906664428403554,0.45091238595175603,0.13848754352552836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Psychic
88,89,Magnemite,Electric,Steel,25,35,70,95,55,45,1,0,0.16783216783216784,143.0,24.0,0.27031538526103743,0.16113298337707785,0.36564485186227513,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Electric
89,90,Magneton,Electric,Steel,50,60,95,120,70,70,1,0,0.0,0.0,0.0,0.4094951317777405,0.25598050243719533,0.4144837395777271,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Electric
90,91,Farfetch'd,Normal,Flying,52,65,55,58,62,60,1,0,0.4482758620689655,116.0,52.0,0.30344132952828606,0.20594925634295713,0.5361463500266469,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Flying
91,92,Doduo,Normal,Flying,35,85,45,35,35,75,1,0,0.6492537313432836,134.0,87.0,0.34207549941245596,0.129230721159855,0.7026147838076602,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Flying
92,93,Dodrio,Normal,Flying,60,110,70,60,60,100,1,0,0.8461538461538461,143.0,121.0,0.4812552459291589,0.2359830021247344,0.64602262977038,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Flying
93,94,Seel,Water,,65,45,55,45,70,45,1,0,0.24369747899159663,119.0,29.0,0.2158941161658553,0.241063617047869,0.5610028832977213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Water
94,95,Dewgong,Water,Ice,90,70,80,70,95,70,1,0,0.5190839694656488,131.0,68.0,0.35507386268255836,0.34781589801274837,0.5474758236942765,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Ice
95,96,Grimer,Poison,,80,80,50,40,50,25,1,0,0.176056338028169,142.0,25.0,0.19925507805942588,0.24122609673790776,0.2006952995498211,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Poison
96,97,Muk,Poison,,105,105,75,65,100,50,1,0,0.37593984962406013,133.0,50.0,0.33843482457612895,0.37774028246469193,0.3059572378920389,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Poison
97,98,Shellder,Water,,30,65,100,45,25,40,1,0,0.1891891891891892,111.0,21.0,0.22863542890716806,0.16859455068116486,0.38794144864904284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Water
98,99,Cloyster,Water,Ice,50,95,180,85,45,70,1,0,0.5298507462686567,134.0,71.0,0.40923808124895084,0.32066304211973506,0.4149598599571424,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Ice
99,100,Gastly,Ghost,Poison,30,35,30,100,35,80,1,0,0.4765625,128.0,61.0,0.377108863521907,0.10272153480814898,0.6570232907421995,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Ghost
100,101,Haunter,Ghost,Poison,45,50,45,115,55,95,1,0,0.6936936936936937,111.0,77.0,0.4606167114319288,0.17272528433945755,0.6311064014575023,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Ghost
101,102,Gengar,Ghost,Poison,60,65,60,130,75,110,1,0,0.7719298245614035,114.0,88.0,0.5441245593419506,0.24272903387076616,0.6138118485161405,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Ghost
102,103,Mega Gengar,Ghost,Poison,60,65,80,170,95,130,1,0,0.8625954198473282,131.0,113.0,0.6556152425717643,0.2887607799025122,0.5977838865843107,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Ghost
103,104,Onix,Rock,Ground,35,45,160,30,45,70,1,0,0.48148148148148145,135.0,65.0,0.26694225281181805,0.2689132608423947,1.1396595443525146,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Ground
104,105,Drowzee,Psychic,,60,48,45,43,90,42,1,0,0.21897810218978103,137.0,30.0,0.20865935034413297,0.24391951006124235,0.5122061122471057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Psychic
105,106,Hypno,Psychic,,85,73,70,73,115,67,1,0,0.5126050420168067,119.0,61.0,0.35463257512170554,0.3506717910261218,0.49832096944121873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Psychic
106,107,Krabby,Water,,30,105,90,25,25,50,1,0,0.2773722627737226,137.0,38.0,0.2840869984891724,0.15748343957005376,0.41270811206649877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Water
107,108,Kingler,Water,,55,130,115,50,50,75,1,0,0.5982142857142857,112.0,67.0,0.42326674500587547,0.26423572053493316,0.44739377355093185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Water
108,109,Voltorb,Electric,,40,30,50,55,55,100,1,0,0.584070796460177,113.0,66.0,0.3663536595601813,0.16843832020997376,1.4259433679390712,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Electric
109,110,Electrode,Electric,,60,50,70,80,80,140,1,0,0.8449612403100775,129.0,109.0,0.5416337921772705,0.2597925259342582,1.2349218949657998,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Electric
110,111,Exeggcute,Grass,Psychic,60,40,80,60,45,40,1,0,0.23529411764705882,136.0,32.0,0.21523207990599297,0.22923697037870266,0.4329676088333533,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Grass
111,112,Exeggutor,Grass,Psychic,95,95,85,125,65,55,1,0,0.3894736842105263,95.0,37.0,0.42072876447876445,0.3274996875390576,0.256824949502662,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Grass
112,113,Cubone,Ground,,50,50,95,40,50,35,1,0,0.20279720279720279,143.0,29.0,0.18728596609031392,0.23217097862767155,0.42090390473690004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Ground
113,114,Marowak,Ground,,60,80,110,50,80,45,1,0,0.2833333333333333,120.0,34.0,0.2699848917240222,0.3042369703787027,0.3664197405944148,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Ground
114,115,Hitmonlee,Fighting,,50,120,53,35,110,87,1,0,0.640625,128.0,82.0,0.4236585109954675,0.2569328833895763,0.6177677957263876,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Fighting
